onset	duration	trial_type	response
182.7	1.3	orange	3
319.4	3.1	orange	3
467.6	1.3	orange	2
493.4	1.2	orange	NoPress
61.5	0.65	orange	NoPress
92.9	1.1	smelly-cheese	2.0
208.2	1.7	smelly-cheese	2.0
261.0	2.0	smelly-cheese	2.0
383.2	1.8	smelly-cheese	2.0
551.2	2.0	smelly-cheese	1.0
4.6	1.7	banana	2.0
235.0	1.0	banana	2.0
353.0	1.9	banana	2.0
412.1	1.7	banana	3.0
522.2	1.5	banana	3.0
32.8	1.4	banana	NoPress
291.9	1.0	asafetida	2.0
439.3	1.5	asafetida	2.0
579.4	1.4	asafetida	1.0
124.9	0.85	asafetida	NoPress
154.6	1.1	asafetida	NoPress
