onset	duration	trial_type	response
64.9	1.4	orange	NoPress
182.3	1.3	orange	4
328.6	1.6	orange	NoPress
442.1	1.3	orange	NoPress
558.0	1.3	orange	NoPress
34.7	1.5	smelly-cheese	NoPress
153.1	1.7	smelly-cheese	1
273.0	1.4	smelly-cheese	NoPress
413.9	1.4	smelly-cheese	1
497.9	1.2	smelly-cheese	1
3.1	1.3	banana	3
122.0	1.9	banana	NoPress
211.4	1.3	banana	3
357.7	1.8	banana	2
467.5	1.5	banana	2
530.0	1.3	banana	3
93.3	1.6	asafetida	NoPress
241.9	1.9	asafetida	NoPress
302.7	1.8	asafetida	2
385.1	1.3	asafetida	2
590.9	1.4	asafetida	2
