onset	duration	trial_type	response
60.1	1.2	orange	n/a
181.8	3.6	orange	n/a
326.9	1.5	orange	n/a
471.5	1.3	orange	n/a
498.3	1.3	orange	n/a
92.3	3.9	smelly-cheese	n/a
210.2	1.6	smelly-cheese	n/a
266.6	1.1	smelly-cheese	n/a
384.3	1.3	smelly-cheese	n/a
556.8	1.3	smelly-cheese	n/a
1.7	1.0	banana	n/a
30.6	1.2	banana	n/a
239.8	2.7	banana	n/a
358.1	1.2	banana	n/a
414.2	3.2	banana	n/a
528.4	1.3	banana	n/a
121.2	1.4	asafetida	n/a
153.5	1.1	asafetida	n/a
298.2	1.3	asafetida	n/a
443.0	3.9	asafetida	n/a
583.4	1.0	asafetida	n/a
