onset	duration	trial_type	response
125.3	1.3	orange	3
156.6	1.1	orange	3
273.9	1.1	orange	3
386.8	1.0	orange	3
563.1	1.2	orange	3
33.8	1.2	smelly-cheese	2
216.6	1.1	smelly-cheese	1
358.3	1.2	smelly-cheese	1
479.4	1.1	smelly-cheese	1
534.0	1.1	smelly-cheese	2
3.0	1.3	banana	1
65.4	1.2	banana	1
246.9	1.3	banana	1
300.4	1.0	banana	1
417.6	1.2	banana	1
505.9	1.1	banana	1
95.1	1.2	asafetida	2
185.8	1.0	asafetida	2
332.8	1.1	asafetida	2
450.2	1.1	asafetida	2
594.8	1.2	asafetida	2
