onset	duration	condition	response
98.5	1.4	orange	3
242.8	0.8	orange	3
411.0	2.5	orange	3
528.2	2.8	orange	3
37.2	1.3	smelly-cheese	1
189.1	1.1	smelly-cheese	1
299.1	0.5	smelly-cheese	1
328.7	0.8	smelly-cheese	1
469.9	0.6	smelly-cheese	1
67.6	1.1	banana	4
158.5	1.2	banana	4
217.4	3.2	banana	4
379.0	1.6	banana	4
443.0	2.0	banana	4
7.9	1.5	asafetida	2
127.9	1.6	asafetida	1
272.6	0.9	asafetida	1
353.6	1.3	asafetida	1
502.3	1.2	asafetida	1
