onset	duration	condition	response
71.7	0.6	orange	3
218.3	1.2	orange	3
284.1	3.6	orange	3
403.0	1.3	orange	3
495.0	1.1	orange	3
16.0	1.5	smelly-cheese	1
157.3	2.3	smelly-cheese	1
340.1	2.0	smelly-cheese	1
462.2	0.6	smelly-cheese	1
520.8	2.3	smelly-cheese	1
98.1	1.5	banana	4
188.3	1.7	banana	4
312.5	0.7	banana	4
437.8	1.8	banana	4
577.8	1.4	banana	4
43.4	2.0	asafetida	1
128.5	1.5	asafetida	1
252.7	1.4	asafetida	1
374.3	1.5	asafetida	1
550.5	1.6	asafetida	1
